product_id,warehouse_id,quantity,last_updated
PROD-00007544,WH-001,328,2026-04-06T13:19:21.363933
PROD-00009398,WH-009,164,2026-04-06T13:19:21.363937
PROD-00005104,WH-002,216,2026-04-06T13:19:21.363941
PROD-00003334,WH-010,155,2026-04-06T13:19:21.363945
PROD-00002174,WH-009,240,2026-04-06T13:19:21.363948
PROD-00002831,WH-004,383,2026-04-06T13:19:21.363952
PROD-00000988,WH-003,39,2026-04-06T13:19:21.363956
PROD-00007819,WH-004,71,2026-04-06T13:19:21.363960
PROD-00005357,WH-008,12,2026-04-06T13:19:21.363964
PROD-00007638,WH-002,339,2026-04-06T13:19:21.363968
PROD-00003709,WH-009,108,2026-04-06T13:19:21.363972
PROD-00000570,WH-009,230,2026-04-06T13:19:21.363976
PROD-00002367,WH-001,293,2026-04-06T13:19:21.363980
PROD-00006176,WH-006,184,2026-04-06T13:19:21.363984
PROD-00007247,WH-010,421,2026-04-06T13:19:21.363989
PROD-00008646,WH-003,279,2026-04-06T13:19:21.363993
PROD-00000645,WH-001,401,2026-04-06T13:19:21.363997
PROD-00000371,WH-010,401,2026-04-06T13:19:21.364001
PROD-00006421,WH-007,234,2026-04-06T13:19:21.364005
PROD-00009571,WH-008,30,2026-04-06T13:19:21.364009
PROD-00005776,WH-003,319,2026-04-06T13:19:21.364013
PROD-00009042,WH-007,146,2026-04-06T13:19:21.364017
PROD-00001388,WH-003,39,2026-04-06T13:19:21.364021
PROD-00007303,WH-006,423,2026-04-06T13:19:21.364025
PROD-00001656,WH-008,346,2026-04-06T13:19:21.364029
PROD-00006951,WH-001,349,2026-04-06T13:19:21.364033
PROD-00009388,WH-005,456,2026-04-06T13:19:21.364036
PROD-00005737,WH-010,181,2026-04-06T13:19:21.364040
PROD-00007750,WH-001,208,2026-04-06T13:19:21.364044
PROD-00003721,WH-008,326,2026-04-06T13:19:21.364048
PROD-00008685,WH-009,377,2026-04-06T13:19:21.364052
PROD-00007577,WH-010,58,2026-04-06T13:19:21.364056
PROD-00006709,WH-002,250,2026-04-06T13:19:21.364060
PROD-00001430,WH-009,286,2026-04-06T13:19:21.364064
PROD-00007762,WH-007,402,2026-04-06T13:19:21.364068
PROD-00005992,WH-005,238,2026-04-06T13:19:21.364072
PROD-00002212,WH-007,253,2026-04-06T13:19:21.364077
PROD-00007281,WH-009,256,2026-04-06T13:19:21.364080
PROD-00008030,WH-005,118,2026-04-06T13:19:21.364085
PROD-00000595,WH-003,351,2026-04-06T13:19:21.364089
PROD-00001012,WH-009,335,2026-04-06T13:19:21.364093
PROD-00002031,WH-004,16,2026-04-06T13:19:21.364097
PROD-00000652,WH-008,91,2026-04-06T13:19:21.364101
PROD-00006738,WH-008,394,2026-04-06T13:19:21.364105
PROD-00009595,WH-007,342,2026-04-06T13:19:21.364109
PROD-00006122,WH-004,188,2026-04-06T13:19:21.364112
PROD-00001364,WH-010,256,2026-04-06T13:19:21.364117
PROD-00009912,WH-003,8,2026-04-06T13:19:21.364120
PROD-00001066,WH-010,381,2026-04-06T13:19:21.364125
PROD-00004987,WH-002,51,2026-04-06T13:19:21.364128
PROD-00002450,WH-001,419,2026-04-06T13:19:21.364132
PROD-00009028,WH-009,64,2026-04-06T13:19:21.364136
PROD-00000441,WH-003,184,2026-04-06T13:19:21.364140
PROD-00006452,WH-002,405,2026-04-06T13:19:21.364144
PROD-00005064,WH-006,210,2026-04-06T13:19:21.364148
PROD-00000927,WH-002,495,2026-04-06T13:19:21.364152
PROD-00001508,WH-005,350,2026-04-06T13:19:21.364156
PROD-00001177,WH-009,188,2026-04-06T13:19:21.364160
PROD-00003081,WH-004,385,2026-04-06T13:19:21.364164
PROD-00007875,WH-010,421,2026-04-06T13:19:21.364168
PROD-00008782,WH-001,393,2026-04-06T13:19:21.364171
PROD-00000160,WH-003,265,2026-04-06T13:19:21.364175
PROD-00007980,WH-003,390,2026-04-06T13:19:21.364179
PROD-00002110,WH-007,18,2026-04-06T13:19:21.364183
PROD-00003900,WH-010,61,2026-04-06T13:19:21.364187
PROD-00003985,WH-007,64,2026-04-06T13:19:21.364191
PROD-00004784,WH-003,71,2026-04-06T13:19:21.364195
PROD-00005171,WH-008,326,2026-04-06T13:19:21.364199
PROD-00006446,WH-007,177,2026-04-06T13:19:21.364203
PROD-00004838,WH-006,459,2026-04-06T13:19:21.364207
PROD-00003917,WH-010,16,2026-04-06T13:19:21.364211
PROD-00001115,WH-010,21,2026-04-06T13:19:21.364215
PROD-00005880,WH-005,41,2026-04-06T13:19:21.364219
PROD-00005081,WH-009,100,2026-04-06T13:19:21.364222
PROD-00006487,WH-010,3,2026-04-06T13:19:21.364226
PROD-00000612,WH-006,324,2026-04-06T13:19:21.364230
PROD-00003247,WH-002,159,2026-04-06T13:19:21.364234
PROD-00004281,WH-008,14,2026-04-06T13:19:21.364238
PROD-00008519,WH-009,455,2026-04-06T13:19:21.364242
PROD-00009454,WH-006,406,2026-04-06T13:19:21.364246
PROD-00003948,WH-010,166,2026-04-06T13:19:21.364250
PROD-00003678,WH-010,192,2026-04-06T13:19:21.364254
PROD-00002052,WH-009,22,2026-04-06T13:19:21.364258
PROD-00008812,WH-006,170,2026-04-06T13:19:21.364261
PROD-00004806,WH-005,438,2026-04-06T13:19:21.364265
PROD-00008168,WH-010,126,2026-04-06T13:19:21.364269
PROD-00005834,WH-001,20,2026-04-06T13:19:21.364273
PROD-00003342,WH-006,298,2026-04-06T13:19:21.364277
PROD-00008747,WH-003,452,2026-04-06T13:19:21.364281
PROD-00003365,WH-001,6,2026-04-06T13:19:21.364285
PROD-00008694,WH-009,65,2026-04-06T13:19:21.364288
PROD-00008439,WH-001,454,2026-04-06T13:19:21.364292
PROD-00005963,WH-003,69,2026-04-06T13:19:21.364296
PROD-00009231,WH-006,254,2026-04-06T13:19:21.364306
PROD-00000313,WH-008,190,2026-04-06T13:19:21.364310
PROD-00004936,WH-004,352,2026-04-06T13:19:21.364314
PROD-00003541,WH-008,249,2026-04-06T13:19:21.364318
PROD-00006218,WH-005,372,2026-04-06T13:19:21.364322
PROD-00008619,WH-008,238,2026-04-06T13:19:21.364326
PROD-00006529,WH-001,155,2026-04-06T13:19:21.364330
PROD-00004931,WH-005,182,2026-04-06T13:19:21.364333
PROD-00004048,WH-010,488,2026-04-06T13:19:21.364338
PROD-00006049,WH-010,314,2026-04-06T13:19:21.364342
PROD-00008344,WH-001,496,2026-04-06T13:19:21.364346
PROD-00000271,WH-001,94,2026-04-06T13:19:21.364349
PROD-00000907,WH-005,241,2026-04-06T13:19:21.364354
PROD-00006989,WH-009,277,2026-04-06T13:19:21.364357
PROD-00006822,WH-009,402,2026-04-06T13:19:21.364361
PROD-00002356,WH-004,417,2026-04-06T13:19:21.364365
PROD-00001678,WH-001,223,2026-04-06T13:19:21.364369
PROD-00006296,WH-008,245,2026-04-06T13:19:21.364373
PROD-00000847,WH-010,316,2026-04-06T13:19:21.364377
PROD-00009763,WH-002,212,2026-04-06T13:19:21.364381
PROD-00001421,WH-007,486,2026-04-06T13:19:21.364385
PROD-00000327,WH-009,172,2026-04-06T13:19:21.364389
PROD-00005359,WH-007,227,2026-04-06T13:19:21.364393
PROD-00007173,WH-004,486,2026-04-06T13:19:21.364396
PROD-00001778,WH-003,286,2026-04-06T13:19:21.364401
PROD-00002765,WH-005,256,2026-04-06T13:19:21.364405
PROD-00001107,WH-001,343,2026-04-06T13:19:21.364409
PROD-00007048,WH-008,3,2026-04-06T13:19:21.364413
PROD-00007794,WH-009,358,2026-04-06T13:19:21.364416
PROD-00001455,WH-007,19,2026-04-06T13:19:21.364420
PROD-00003733,WH-001,471,2026-04-06T13:19:21.364426
PROD-00003722,WH-008,222,2026-04-06T13:19:21.364429
PROD-00002086,WH-007,85,2026-04-06T13:19:21.364434
PROD-00008043,WH-005,348,2026-04-06T13:19:21.364439
PROD-00004046,WH-010,75,2026-04-06T13:19:21.364447
PROD-00003598,WH-007,401,2026-04-06T13:19:21.364451
PROD-00009766,WH-005,187,2026-04-06T13:19:21.364455
PROD-00004564,WH-008,57,2026-04-06T13:19:21.364459
PROD-00003218,WH-008,6,2026-04-06T13:19:21.364463
PROD-00002255,WH-009,159,2026-04-06T13:19:21.364467
PROD-00005047,WH-004,432,2026-04-06T13:19:21.364471
PROD-00006361,WH-006,296,2026-04-06T13:19:21.364475
PROD-00001489,WH-009,449,2026-04-06T13:19:21.364479
PROD-00007126,WH-007,360,2026-04-06T13:19:21.364483
PROD-00008929,WH-010,72,2026-04-06T13:19:21.364487
PROD-00006924,WH-007,347,2026-04-06T13:19:21.364491
PROD-00004233,WH-009,176,2026-04-06T13:19:21.364495
PROD-00006350,WH-010,149,2026-04-06T13:19:21.364499
PROD-00009110,WH-009,266,2026-04-06T13:19:21.364503
PROD-00005497,WH-008,291,2026-04-06T13:19:21.364506
PROD-00004755,WH-006,127,2026-04-06T13:19:21.364510
PROD-00004229,WH-010,481,2026-04-06T13:19:21.364514
PROD-00008341,WH-010,52,2026-04-06T13:19:21.364518
PROD-00006533,WH-008,465,2026-04-06T13:19:21.364522
PROD-00001872,WH-003,62,2026-04-06T13:19:21.364526
PROD-00002641,WH-009,137,2026-04-06T13:19:21.364530
PROD-00008012,WH-007,433,2026-04-06T13:19:21.364534
PROD-00008046,WH-001,294,2026-04-06T13:19:21.364537
PROD-00009953,WH-004,64,2026-04-06T13:19:21.364541
PROD-00004136,WH-003,346,2026-04-06T13:19:21.364545
PROD-00004617,WH-003,391,2026-04-06T13:19:21.364549
PROD-00003488,WH-003,402,2026-04-06T13:19:21.364553
PROD-00000784,WH-010,156,2026-04-06T13:19:21.364557
PROD-00007512,WH-002,165,2026-04-06T13:19:21.364561
PROD-00008992,WH-003,228,2026-04-06T13:19:21.364565
PROD-00003317,WH-002,414,2026-04-06T13:19:21.364569
PROD-00005752,WH-008,222,2026-04-06T13:19:21.364573
PROD-00001104,WH-006,126,2026-04-06T13:19:21.364577
PROD-00005072,WH-001,288,2026-04-06T13:19:21.364581
PROD-00006216,WH-006,205,2026-04-06T13:19:21.364585
PROD-00007537,WH-003,461,2026-04-06T13:19:21.364589
PROD-00008731,WH-007,387,2026-04-06T13:19:21.364593
PROD-00006076,WH-006,178,2026-04-06T13:19:21.364597
PROD-00009751,WH-003,95,2026-04-06T13:19:21.364601
PROD-00002438,WH-008,333,2026-04-06T13:19:21.364605
PROD-00001744,WH-005,493,2026-04-06T13:19:21.364609
PROD-00008908,WH-003,366,2026-04-06T13:19:21.364613
PROD-00005643,WH-008,365,2026-04-06T13:19:21.364617
PROD-00009901,WH-006,184,2026-04-06T13:19:21.364621
PROD-00003281,WH-004,303,2026-04-06T13:19:21.364625
PROD-00008135,WH-008,324,2026-04-06T13:19:21.364629
PROD-00004331,WH-007,488,2026-04-06T13:19:21.364633
PROD-00004738,WH-002,336,2026-04-06T13:19:21.364637
PROD-00005525,WH-010,127,2026-04-06T13:19:21.364640
PROD-00007714,WH-005,124,2026-04-06T13:19:21.364644
PROD-00002566,WH-006,14,2026-04-06T13:19:21.364648
PROD-00007047,WH-001,369,2026-04-06T13:19:21.364652
PROD-00002037,WH-004,489,2026-04-06T13:19:21.364656
PROD-00008562,WH-008,423,2026-04-06T13:19:21.364660
PROD-00003668,WH-009,352,2026-04-06T13:19:21.364664
PROD-00006461,WH-005,354,2026-04-06T13:19:21.364668
PROD-00005366,WH-003,350,2026-04-06T13:19:21.364672
PROD-00002935,WH-001,454,2026-04-06T13:19:21.364676
PROD-00009767,WH-006,330,2026-04-06T13:19:21.364680
PROD-00005081,WH-001,435,2026-04-06T13:19:21.364684
PROD-00009502,WH-008,465,2026-04-06T13:19:21.364688
PROD-00003367,WH-008,390,2026-04-06T13:19:21.364692
PROD-00002452,WH-005,1,2026-04-06T13:19:21.364695
PROD-00005433,WH-008,397,2026-04-06T13:19:21.364699
PROD-00008677,WH-008,488,2026-04-06T13:19:21.364703
PROD-00008062,WH-010,156,2026-04-06T13:19:21.364707
PROD-00005889,WH-003,240,2026-04-06T13:19:21.364711
PROD-00008028,WH-010,4,2026-04-06T13:19:21.364715
PROD-00008741,WH-010,123,2026-04-06T13:19:21.364719
PROD-00002538,WH-006,194,2026-04-06T13:19:21.364723
PROD-00004282,WH-010,268,2026-04-06T13:19:21.364727
PROD-00001352,WH-001,29,2026-04-06T13:19:21.364731
PROD-00009273,WH-004,488,2026-04-06T13:19:21.364735
PROD-00005469,WH-001,448,2026-04-06T13:19:21.364739
PROD-00008075,WH-008,233,2026-04-06T13:19:21.364743
PROD-00009152,WH-002,373,2026-04-06T13:19:21.364747
PROD-00008840,WH-007,216,2026-04-06T13:19:21.364751
PROD-00004025,WH-005,466,2026-04-06T13:19:21.364755
PROD-00007449,WH-009,270,2026-04-06T13:19:21.364759
PROD-00007158,WH-003,288,2026-04-06T13:19:21.364763
PROD-00007800,WH-001,490,2026-04-06T13:19:21.364767
PROD-00005559,WH-002,312,2026-04-06T13:19:21.364770
PROD-00007686,WH-008,268,2026-04-06T13:19:21.364774
PROD-00006454,WH-001,262,2026-04-06T13:19:21.364778
PROD-00002025,WH-009,238,2026-04-06T13:19:21.364782
PROD-00003247,WH-007,369,2026-04-06T13:19:21.364786
PROD-00005691,WH-004,218,2026-04-06T13:19:21.364790
PROD-00008905,WH-010,345,2026-04-06T13:19:21.364794
PROD-00008222,WH-009,33,2026-04-06T13:19:21.364798
PROD-00005885,WH-006,306,2026-04-06T13:19:21.364802
PROD-00006607,WH-004,33,2026-04-06T13:19:21.364805
PROD-00001407,WH-002,340,2026-04-06T13:19:21.364809
PROD-00000987,WH-006,465,2026-04-06T13:19:21.364813
PROD-00005208,WH-005,154,2026-04-06T13:19:21.364817
PROD-00002911,WH-010,234,2026-04-06T13:19:21.364821
PROD-00006193,WH-009,94,2026-04-06T13:19:21.364825
PROD-00005276,WH-003,272,2026-04-06T13:19:21.364829
PROD-00001048,WH-005,137,2026-04-06T13:19:21.364833
PROD-00004790,WH-003,26,2026-04-06T13:19:21.364837
PROD-00008419,WH-002,414,2026-04-06T13:19:21.364841
PROD-00005652,WH-007,62,2026-04-06T13:19:21.364845
PROD-00003814,WH-001,108,2026-04-06T13:19:21.364849
PROD-00007362,WH-001,332,2026-04-06T13:19:21.364857
PROD-00004473,WH-002,500,2026-04-06T13:19:21.364861
PROD-00000805,WH-006,283,2026-04-06T13:19:21.364865
PROD-00003513,WH-008,314,2026-04-06T13:19:21.364869
PROD-00005110,WH-006,246,2026-04-06T13:19:21.364872
PROD-00005525,WH-002,438,2026-04-06T13:19:21.364876
PROD-00000900,WH-007,334,2026-04-06T13:19:21.364880
PROD-00009412,WH-009,28,2026-04-06T13:19:21.364884
PROD-00001920,WH-001,421,2026-04-06T13:19:21.364888
PROD-00007467,WH-003,236,2026-04-06T13:19:21.364892
PROD-00009795,WH-006,45,2026-04-06T13:19:21.364896
PROD-00008937,WH-009,325,2026-04-06T13:19:21.364900
PROD-00006389,WH-009,47,2026-04-06T13:19:21.364904
PROD-00002382,WH-009,202,2026-04-06T13:19:21.364908
PROD-00007041,WH-003,224,2026-04-06T13:19:21.364916
PROD-00005443,WH-006,444,2026-04-06T13:19:21.364920
PROD-00002619,WH-008,492,2026-04-06T13:19:21.364924
PROD-00005962,WH-009,458,2026-04-06T13:19:21.364928
PROD-00006819,WH-001,78,2026-04-06T13:19:21.364932
PROD-00006464,WH-001,259,2026-04-06T13:19:21.364940
PROD-00008221,WH-003,187,2026-04-06T13:19:21.364944
PROD-00005537,WH-007,355,2026-04-06T13:19:21.364948
PROD-00007956,WH-009,352,2026-04-06T13:19:21.364952
PROD-00008591,WH-001,326,2026-04-06T13:19:21.364956
PROD-00007889,WH-009,214,2026-04-06T13:19:21.364960
PROD-00001317,WH-010,1,2026-04-06T13:19:21.364964
PROD-00003597,WH-008,326,2026-04-06T13:19:21.364968
PROD-00000279,WH-006,181,2026-04-06T13:19:21.364972
PROD-00003389,WH-006,360,2026-04-06T13:19:21.364976
PROD-00004672,WH-005,482,2026-04-06T13:19:21.364980
PROD-00006362,WH-004,360,2026-04-06T13:19:21.364984
PROD-00008915,WH-002,487,2026-04-06T13:19:21.364988
PROD-00003565,WH-002,218,2026-04-06T13:19:21.364992
PROD-00000933,WH-008,297,2026-04-06T13:19:21.364995
PROD-00002058,WH-003,25,2026-04-06T13:19:21.364999
PROD-00009997,WH-004,252,2026-04-06T13:19:21.365003
PROD-00007380,WH-010,406,2026-04-06T13:19:21.365007
PROD-00009798,WH-004,434,2026-04-06T13:19:21.365011
PROD-00005310,WH-002,428,2026-04-06T13:19:21.365015
PROD-00007914,WH-001,436,2026-04-06T13:19:21.365019
PROD-00001620,WH-007,264,2026-04-06T13:19:21.365023
PROD-00007854,WH-008,129,2026-04-06T13:19:21.365027
PROD-00009863,WH-009,280,2026-04-06T13:19:21.365031
PROD-00001866,WH-002,284,2026-04-06T13:19:21.365035
PROD-00008963,WH-002,402,2026-04-06T13:19:21.365039
PROD-00003928,WH-001,133,2026-04-06T13:19:21.365043
PROD-00001275,WH-001,94,2026-04-06T13:19:21.365047
PROD-00001380,WH-001,18,2026-04-06T13:19:21.365051
PROD-00007025,WH-002,147,2026-04-06T13:19:21.365055
PROD-00009743,WH-002,65,2026-04-06T13:19:21.365058
PROD-00004665,WH-003,233,2026-04-06T13:19:21.365063
PROD-00008035,WH-001,342,2026-04-06T13:19:21.365066
PROD-00002776,WH-001,225,2026-04-06T13:19:21.365070
PROD-00004520,WH-001,483,2026-04-06T13:19:21.365074
PROD-00002658,WH-005,25,2026-04-06T13:19:21.365078
PROD-00009414,WH-006,334,2026-04-06T13:19:21.365082
PROD-00006770,WH-005,78,2026-04-06T13:19:21.365086
PROD-00004397,WH-009,208,2026-04-06T13:19:21.365090
PROD-00002111,WH-007,90,2026-04-06T13:19:21.365093
PROD-00003296,WH-009,448,2026-04-06T13:19:21.365097
PROD-00008396,WH-004,220,2026-04-06T13:19:21.365101
PROD-00008756,WH-006,474,2026-04-06T13:19:21.365106
PROD-00000046,WH-007,34,2026-04-06T13:19:21.365109
PROD-00000379,WH-002,83,2026-04-06T13:19:21.365113
PROD-00005606,WH-007,452,2026-04-06T13:19:21.365118
PROD-00006657,WH-009,179,2026-04-06T13:19:21.365124
PROD-00009145,WH-008,229,2026-04-06T13:19:21.365128
PROD-00004782,WH-008,478,2026-04-06T13:19:21.365132
PROD-00006232,WH-008,109,2026-04-06T13:19:21.365136
PROD-00009358,WH-008,499,2026-04-06T13:19:21.365140
PROD-00003970,WH-007,55,2026-04-06T13:19:21.365144
PROD-00004081,WH-008,418,2026-04-06T13:19:21.365148
PROD-00007550,WH-007,128,2026-04-06T13:19:21.365152
PROD-00005715,WH-010,299,2026-04-06T13:19:21.365156
PROD-00005772,WH-007,488,2026-04-06T13:19:21.365160
PROD-00006447,WH-001,180,2026-04-06T13:19:21.365163
PROD-00004878,WH-010,144,2026-04-06T13:19:21.365168
PROD-00009437,WH-006,89,2026-04-06T13:19:21.365171
PROD-00006023,WH-001,139,2026-04-06T13:19:21.365175
PROD-00008369,WH-004,172,2026-04-06T13:19:21.365179
PROD-00002935,WH-006,304,2026-04-06T13:19:21.365183
PROD-00003496,WH-002,450,2026-04-06T13:19:21.365187
PROD-00007657,WH-006,168,2026-04-06T13:19:21.365191
PROD-00007796,WH-005,36,2026-04-06T13:19:21.365195
PROD-00007449,WH-007,219,2026-04-06T13:19:21.365199
PROD-00009994,WH-002,125,2026-04-06T13:19:21.365203
PROD-00001253,WH-004,440,2026-04-06T13:19:21.365207
PROD-00006382,WH-002,326,2026-04-06T13:19:21.365211
PROD-00007338,WH-008,374,2026-04-06T13:19:21.365215
PROD-00000006,WH-005,404,2026-04-06T13:19:21.365219
PROD-00004803,WH-007,124,2026-04-06T13:19:21.365223
PROD-00006619,WH-005,472,2026-04-06T13:19:21.365227
PROD-00003144,WH-010,116,2026-04-06T13:19:21.365230
PROD-00001225,WH-006,72,2026-04-06T13:19:21.365234
PROD-00005342,WH-002,262,2026-04-06T13:19:21.365238
PROD-00004102,WH-005,2,2026-04-06T13:19:21.365242
PROD-00000204,WH-006,261,2026-04-06T13:19:21.365246
PROD-00008380,WH-010,136,2026-04-06T13:19:21.365250
PROD-00006940,WH-005,109,2026-04-06T13:19:21.365254
PROD-00002308,WH-009,211,2026-04-06T13:19:21.365258
PROD-00008431,WH-003,315,2026-04-06T13:19:21.365262
PROD-00002943,WH-007,253,2026-04-06T13:19:21.365266
PROD-00008033,WH-005,124,2026-04-06T13:19:21.365270
PROD-00005625,WH-003,9,2026-04-06T13:19:21.365274
PROD-00002309,WH-001,93,2026-04-06T13:19:21.365277
PROD-00000535,WH-008,215,2026-04-06T13:19:21.365281
PROD-00002041,WH-010,263,2026-04-06T13:19:21.365285
PROD-00002115,WH-004,16,2026-04-06T13:19:21.365289
PROD-00006839,WH-001,265,2026-04-06T13:19:21.365293
PROD-00009597,WH-005,457,2026-04-06T13:19:21.365297
PROD-00004695,WH-010,76,2026-04-06T13:19:21.365301
PROD-00003900,WH-007,492,2026-04-06T13:19:21.365305
PROD-00000747,WH-003,419,2026-04-06T13:19:21.365309
PROD-00009944,WH-005,196,2026-04-06T13:19:21.365312
PROD-00007496,WH-007,420,2026-04-06T13:19:21.365316
PROD-00001918,WH-001,461,2026-04-06T13:19:21.365320
PROD-00006353,WH-003,370,2026-04-06T13:19:21.365324
PROD-00009219,WH-006,206,2026-04-06T13:19:21.365328
PROD-00001115,WH-006,105,2026-04-06T13:19:21.365332
PROD-00006590,WH-007,339,2026-04-06T13:19:21.365336
PROD-00000731,WH-009,373,2026-04-06T13:19:21.365340
PROD-00005495,WH-007,474,2026-04-06T13:19:21.365344
PROD-00006980,WH-005,219,2026-04-06T13:19:21.365348
PROD-00009030,WH-003,197,2026-04-06T13:19:21.365352
PROD-00005511,WH-004,175,2026-04-06T13:19:21.365356
PROD-00005569,WH-006,145,2026-04-06T13:19:21.365360
PROD-00000405,WH-002,330,2026-04-06T13:19:21.365364
PROD-00009534,WH-005,422,2026-04-06T13:19:21.365368
PROD-00009234,WH-001,55,2026-04-06T13:19:21.365372
PROD-00001650,WH-010,99,2026-04-06T13:19:21.365376
PROD-00002403,WH-006,99,2026-04-06T13:19:21.365380
PROD-00008878,WH-004,422,2026-04-06T13:19:21.365384
PROD-00002798,WH-001,211,2026-04-06T13:19:21.365388
PROD-00003843,WH-003,400,2026-04-06T13:19:21.365392
PROD-00001568,WH-005,214,2026-04-06T13:19:21.365396
PROD-00004397,WH-008,15,2026-04-06T13:19:21.365400
PROD-00004000,WH-005,320,2026-04-06T13:19:21.365404
PROD-00003589,WH-002,162,2026-04-06T13:19:21.365408
PROD-00006918,WH-008,0,2026-04-06T13:19:21.365411
PROD-00003417,WH-001,65,2026-04-06T13:19:21.365415
PROD-00002516,WH-009,298,2026-04-06T13:19:21.365420
PROD-00003394,WH-003,452,2026-04-06T13:19:21.365423
PROD-00006863,WH-005,481,2026-04-06T13:19:21.365427
PROD-00005616,WH-010,288,2026-04-06T13:19:21.365431
PROD-00008320,WH-006,226,2026-04-06T13:19:21.365435
PROD-00008197,WH-002,388,2026-04-06T13:19:21.365439
PROD-00007668,WH-008,319,2026-04-06T13:19:21.365443
PROD-00009658,WH-007,425,2026-04-06T13:19:21.365447
PROD-00001159,WH-009,131,2026-04-06T13:19:21.365451
PROD-00005439,WH-006,387,2026-04-06T13:19:21.365455
PROD-00000321,WH-002,499,2026-04-06T13:19:21.365459
PROD-00001318,WH-009,169,2026-04-06T13:19:21.365463
PROD-00005333,WH-004,76,2026-04-06T13:19:21.365466
PROD-00002833,WH-009,106,2026-04-06T13:19:21.365470
PROD-00008977,WH-010,413,2026-04-06T13:19:21.365474
PROD-00005422,WH-008,428,2026-04-06T13:19:21.365478
PROD-00005148,WH-010,243,2026-04-06T13:19:21.365482
PROD-00005344,WH-009,189,2026-04-06T13:19:21.365486
